amfi_code,HHI,HHI_10000,scheme_name,category
119092,0.20644766999999994,2064.4766999999993,Axis Bluechip Fund - Regular - Growth,Equity
101207,0.20070043,2007.0043,ABSL Small Cap Fund - Regular - Growth,Equity
119599,0.17475095999999998,1747.5095999999999,SBI Small Cap Fund - Direct Plan - Growth,Equity
102885,0.17470902,1747.0901999999999,UTI Nifty 50 Index Fund - Regular - Growth,Equity
118632,0.1682982,1682.9820000000002,Nippon India Large Cap Fund - Regular - Growth,Equity
148568,0.16792973,1679.2973,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity
120505,0.15757036000000002,1575.7036000000003,ICICI Pru Midcap Fund - Regular - Growth,Equity
120506,0.1537936,1537.936,ICICI Pru Value Discovery Fund - Regular - Growth,Equity
125498,0.15241398,1524.1398000000002,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity
120841,0.14968035000000002,1496.8035000000002,Kotak Bluechip Fund - Regular - Growth,Equity
148569,0.14939642,1493.9642000000001,Mirae Asset Tax Saver Fund - Regular - Growth,Equity
100033,0.14759225999999998,1475.9225999999996,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity
149323,0.14162096000000002,1416.2096000000001,DSP Midcap Fund - Regular - Growth,Equity
120503,0.14087026,1408.7026,ICICI Pru Bluechip Fund - Regular - Growth,Equity
100016,0.13953386,1395.3386,HDFC Top 100 Fund - Regular Plan - Growth,Equity
148567,0.13858416999999998,1385.8416999999997,Mirae Asset Large Cap Fund - Regular - Growth,Equity
125497,0.13658554,1365.8554000000001,HDFC Top 100 Fund - Direct Plan - Growth,Equity
119094,0.13640591000000002,1364.0591000000002,Axis Midcap Fund - Regular - Growth,Equity
118635,0.13594415,1359.4415000000001,Nippon India ETF Nifty 50 BeES,Equity
149322,0.13439797,1343.9797,DSP Top 100 Equity Fund - Regular - Growth,Equity
119093,0.13089424,1308.9424,Axis Bluechip Fund - Direct - Growth,Equity
102887,0.12980494999999997,1298.0494999999999,UTI Flexi Cap Fund - Regular - Growth,Equity
101206,0.12933173,1293.3173000000002,ABSL Frontline Equity Fund - Regular - Growth,Equity
120843,0.12868306000000002,1286.8306000000002,Kotak Flexicap Fund - Regular - Growth,Equity
120842,0.12743880999999999,1274.3881,Kotak Emerging Equity Fund - Regular - Growth,Equity
118633,0.12146086,1214.6086,Nippon India Large Cap Fund - Direct - Growth,Equity
119551,0.11871551999999999,1187.1552,SBI Bluechip Fund - Regular Plan - Growth,Equity
149324,0.11867710000000001,1186.7710000000002,DSP Small Cap Fund - Regular - Growth,Equity
102886,0.11469284,1146.9284,UTI Mid Cap Fund - Regular - Growth,Equity
119095,0.10960535000000002,1096.0535000000002,Axis Small Cap Fund - Regular - Growth,Equity
120504,0.10867415000000001,1086.7415,ICICI Pru Bluechip Fund - Direct - Growth,Equity
118634,0.10835772,1083.5772,Nippon India Small Cap Fund - Regular - Growth,Equity
119552,0.10801068999999998,1080.1068999999998,SBI Bluechip Fund - Direct Plan - Growth,Equity
119598,0.10734895,1073.4895,SBI Small Cap Fund - Regular Plan - Growth,Equity
