amfi_code,Alpha,Beta,R_squared,Alpha_Rank
119598,0.3033696538698332,-0.023196062044059704,0.0001414257550272172,1
149324,0.3005787817097677,0.011455159960520695,3.532990626795555e-05,2
120505,0.2926358334175106,0.0005490042506317072,1.345534167566861e-07,3
148569,0.2827036785246582,0.018133884083859235,0.00017488886568129533,4
120843,0.27330465038306057,-0.02282956979242655,0.00034305434271514486,5
100033,0.2719535450128533,0.005103525830528319,1.2066520635068207e-05,6
148567,0.2698375144191807,0.023683558075848637,0.000462543690662385,7
149323,0.26598577542043045,-0.0025230046646992775,3.3579781920089404e-06,8
119094,0.2607666908004223,-0.0662654286280376,0.0019368789369602333,9
119551,0.23201007160635082,-0.031751441138909736,0.0008869788879322819,10
118632,0.21829397904608644,-0.008353832126962014,5.791756270127821e-05,11
101206,0.21399784776051212,0.021086316250128037,0.00034804820307142523,12
120504,0.2119482701352573,0.016232169761416997,0.00021216129075887427,13
148568,0.20873010086942337,-0.026387719943843025,0.0004859264752797321,14
119552,0.1986859936686296,-0.026159307513513426,0.0005850821704543436,15
125497,0.17729754927531766,0.04882040425957739,0.001840179278307158,16
120503,0.17703302365844073,-0.040268952369820595,0.001397444608331861,17
118634,0.1750072167561127,0.10349663691337589,0.0027930065610663234,18
102885,0.17048756803412696,-0.019486785689474522,0.00038285030730923807,19
120506,0.1625385327998104,0.041896462728119775,0.0012571178108220736,20
102887,0.16211256794033255,0.016682689437770844,0.00018619166432850203,21
118633,0.1564383594816967,-0.03663900671860936,0.0011382947171084286,22
118635,0.1513635464823924,-0.001433521389780124,2.025340897232818e-06,23
149322,0.13173190226099432,-0.004050271130006523,1.3227607880850393e-05,24
120841,0.13042924450705445,0.0363563990221998,0.0012113711061211869,25
125498,0.11989100971217971,0.009054412621739151,4.0437465536342426e-05,26
101207,0.10897091901704538,-0.06528924788351523,0.0010641052735572613,27
119093,0.08232801295222093,0.02588321244009315,0.0005692038090244866,28
120842,0.0780443887615508,0.018056874208118138,0.00016915548838314316,29
119092,0.0689952982167755,0.009730745001153646,8.082637693810791e-05,30
120507,0.06746210411099539,-0.0004440926329707229,0.0001343066144067983,31
120844,0.06455677495375998,-0.0004007442394784014,0.00010125435692271783,32
101208,0.060861457957871144,0.0002667096833823837,4.6076236771052116e-05,33
119120,0.05620895216638369,-0.006413850728276462,0.00043426033217200334,34
118636,0.05074772999976104,0.0012566742731558514,1.6516652310332888e-05,35
119599,0.048824215945539845,0.0620018043826717,0.0010259205326765973,36
119095,0.048015953637759554,-0.06695117463929204,0.0011851593464486726,37
100025,0.042817920315060876,0.0011582183155281456,1.4612842041845013e-05,38
100016,0.03747580763443281,-0.05826843143880892,0.002665032698133324,39
102886,0.028969397866379445,-0.042125029021894356,0.0008964294600687593,40
